city,district,river_flood_risk,inland_flood_risk,storm_surge_risk,hazard_zone,notes
さいたま市大宮区,大宮駅周辺,medium,medium,none,caution,荒川洪水浸水想定区域の一部
さいたま市大宮区,日進,high,medium,none,warning,荒川氾濫時0.5-3m浸水想定
さいたま市浦和区,浦和駅周辺,low,medium,none,caution,台地部で洪水リスク低
さいたま市浦和区,岸町,medium,medium,none,caution,旧市街地・排水注意
さいたま市中央区,与野駅周辺,medium,high,none,warning,低地部で内水氾濫リスク
さいたま市見沼区,見沼,high,medium,none,warning,見沼田んぼ・荒川氾濫影響大
川越市,川越駅周辺,medium,medium,none,caution,新河岸川・入間川の影響
川越市,古谷,high,high,none,danger,荒川・越辺川合流部近接
所沢市,所沢駅周辺,low,low,none,none,武蔵野台地上・洪水リスク低
所沢市,東所沢,low,medium,none,caution,柳瀬川沿い低地は注意
越谷市,越谷駅周辺,high,high,none,danger,元荒川・綾瀬川氾濫リスク極高
越谷市,レイクタウン,high,medium,none,warning,低地部・荒川氾濫3m以上想定
川口市,川口駅周辺,high,high,none,warning,荒川・芝川氾濫リスク高
川口市,西川口,high,high,none,warning,低地部・内水氾濫も頻発
川口市,鳩ヶ谷,medium,medium,none,caution,台地と低地の境界部
熊谷市,熊谷駅周辺,medium,medium,none,caution,荒川氾濫想定区域の一部
熊谷市,妻沼,high,high,none,danger,利根川近接・氾濫リスク極高
草加市,草加駅周辺,high,high,none,danger,綾瀬川・伝右川氾濫リスク大
春日部市,春日部駅周辺,high,high,none,danger,古利根川・倉松川氾濫リスク
朝霞市,朝霞駅周辺,medium,medium,none,caution,黒目川沿い一部浸水想定
