year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2020,Q1,札幌市,札幌市中央区,residential,70,21000000,300000,2005,RC,マンション
2020,Q2,札幌市,札幌市北区,land,300,24000000,80000,0,,
2020,Q3,札幌市,札幌市白石区,residential,90,18000000,200000,1998,RC,マンション
2020,Q4,旭川市,旭川市,land,400,32000000,80000,0,,
2021,Q1,札幌市,札幌市中央区,commercial,100,30000000,300000,2008,SRC,店舗
2021,Q2,札幌市,札幌市北区,residential,80,16000000,200000,2001,RC,マンション
2021,Q3,札幌市,札幌市白石区,land,250,20000000,80000,0,,
2021,Q4,旭川市,旭川市,residential,95,14250000,150000,1995,W,戸建て
2022,Q1,札幌市,札幌市中央区,office,130,39000000,300000,2015,RC,事務所
2022,Q2,札幌市,札幌市北区,commercial,110,22000000,200000,2000,S,店舗
2022,Q3,札幌市,札幌市白石区,residential,75,15000000,200000,2010,RC,マンション
2022,Q4,旭川市,旭川市,commercial,150,18000000,120000,2002,S,店舗
2023,Q1,札幌市,札幌市中央区,residential,65,19500000,300000,2020,RC,マンション
2023,Q2,札幌市,札幌市北区,land,350,28000000,80000,0,,
2023,Q3,札幌市,札幌市白石区,office,120,24000000,200000,2009,RC,事務所
2023,Q4,旭川市,旭川市,residential,100,12000000,120000,1990,W,戸建て
2024,Q1,札幌市,札幌市中央区,commercial,180,54000000,300000,2022,SRC,店舗
2024,Q2,札幌市,札幌市北区,residential,70,17500000,250000,2023,RC,マンション
2024,Q3,札幌市,札幌市白石区,land,200,16000000,80000,0,,
2024,Q4,旭川市,旭川市,office,100,12000000,120000,2003,S,事務所
2024,Q1,札幌市,札幌市中央区,residential,55,16500000,300000,2024,RC,マンション
2024,Q2,旭川市,旭川市,land,500,40000000,80000,0,,
