city,district,zone_type,coverage_ratio,floor_area_ratio,height_limit
"千葉市中央区","千葉駅周辺","第2種住居地域",60,200,
"船橋市","船橋駅周辺","第1種低層住居専用地域",50,100,10
"浦安市","新浦安","第1種低層住居専用地域",50,100,10
"松戸市","松戸駅周辺","第1種低層住居専用地域",50,100,10
"柏市","柏駅周辺","近隣商業地域",80,300,
"市川市","本八幡","第1種低層住居専用地域",50,100,10
"浦安市","舞浜","第1種低層住居専用地域",50,100,10
"千葉市花見川区","幕張本郷","第1種低層住居専用地域",50,100,10
"成田市","成田駅周辺","商業地域",80,400,
"木更津市","木更津駅周辺","第1種低層住居専用地域",50,100,10
"船橋市","西船橋","第1種低層住居専用地域",50,100,10
"柏市","柏の葉キャンパス","第1種低層住居専用地域",50,100,10
"市川市","市川駅周辺","商業地域",80,400,
"千葉市美浜区","海浜幕張","商業地域",80,400,
"松戸市","新松戸","第1種低層住居専用地域",50,100,10
"流山市","流山おおたかの森","第1種低層住居専用地域",50,100,10
"船橋市","津田沼","商業地域",80,400,
"成田市","空港周辺","商業地域",80,400,
"習志野市","津田沼","第1種低層住居専用地域",50,100,10
"木更津市","金田","商業地域",80,400,
"千葉市花見川区","幕張新都心","商業地域",80,400,
"松戸市","流山おおたかの森","第1種低層住居専用地域",50,100,10
