city,district,walk_score,transit_score,safety_score,green_score,commercial_score,overall_score,notes
さいたま市大宮区,大宮駅前,85,90,72,55,92,82,埼玉最大のターミナル駅周辺
さいたま市大宮区,宮原,68,72,78,65,70,71,住宅街・ファミリー層に人気
さいたま市大宮区,土呂,62,65,80,70,60,68,閑静な住宅街
さいたま市浦和区,浦和駅前,80,85,75,60,88,80,県庁所在地・文教都市
さいたま市浦和区,常盤,72,68,82,70,65,73,浦和レッズ本拠地近辺
さいたま市浦和区,北浦和,75,78,80,65,72,75,学習院大学など文教施設多数
さいたま市中央区,与野駅前,72,75,78,60,75,73,さいたま新都心へアクセス良
さいたま市中央区,さいたま新都心,65,80,82,58,68,72,大型オフィス・商業施設集積
川越市,川越駅前,78,80,74,62,85,78,小江戸・観光と生活機能両立
川越市,本川越,72,70,76,65,80,74,蔵の街・観光資源豊富
川越市,霞ヶ関,55,62,82,78,55,66,自然豊か・ファミリー向け
所沢市,所沢駅前,75,78,76,60,82,75,西武池袋線・新宿線分岐点
所沢市,東所沢,58,65,80,72,55,66,KADOKAWA施設・IT企業集積
所沢市,航空公園,65,68,82,75,62,70,航空公園周辺・緑地豊富
越谷市,越谷駅前,72,75,74,58,78,72,東武スカイツリーライン利便性
越谷市,南越谷,75,78,75,62,80,74,武蔵野線・東武線乗換駅
越谷市,レイクタウン,60,65,80,70,85,73,イオン最大級SC・ファミリー向け
川口市,川口駅前,80,85,68,52,88,78,東京近郊・利便性極高
川口市,西川口,72,80,65,50,82,72,ナイトライフ・国際色豊か
川口市,鳩ヶ谷,65,70,78,65,68,70,川口市合併・住宅街
熊谷市,熊谷駅前,70,72,78,62,78,72,新幹線停車・北関東の拠点
熊谷市,籠原,55,60,82,70,55,64,ラグビーの街・郊外住宅地
草加市,草加駅前,72,78,72,60,78,72,東武スカイツリーライン快速停車
春日部市,春日部駅前,68,72,74,62,75,70,クレヨンしんちゃんの街
朝霞市,朝霞駅前,72,78,78,65,72,73,東京近郊・ベッドタウン
和光市,和光市駅前,78,88,78,65,78,79,東京メトロ直通・利便性高
