city,district,walk_score,transit_score,safety_score,green_score,commercial_score,overall_score,notes
千葉市中央区,千葉駅周辺,88,92,72,55,90,79,JR・モノレール結節点。商業施設充実
千葉市中央区,本千葉,75,82,75,62,78,74,官公庁・医療施設集積
千葉市花見川区,幕張本郷,72,78,80,65,75,74,ファミリー層に人気の住宅地
千葉市花見川区,幕張新都心,80,75,82,70,88,79,イオンモール・展示場集積。海浜公園隣接
千葉市稲毛区,稲毛海岸,78,80,78,72,76,77,海浜公園が近く環境良好
千葉市美浜区,海浜幕張,82,80,85,80,85,82,計画的街並み。マリンスタジアム周辺
船橋市,船橋駅周辺,90,93,70,52,92,79,JR・東武・京成交差。商業集積
船橋市,西船橋,85,90,72,55,82,77,4路線乗換え可能なターミナル
船橋市,津田沼,87,88,74,58,88,79,パルコ・イオンなど商業施設集中
松戸市,松戸駅周辺,85,88,68,58,82,76,常磐線・新京成沿線。繁華街あり
松戸市,新松戸,78,82,75,68,72,75,複数路線利用可能。住宅地
松戸市,流山おおたかの森,80,85,85,78,82,82,TX沿線の新興住宅地。子育て環境良好
柏市,柏駅周辺,88,88,70,55,88,78,東葛最大の商業集積地
柏市,柏の葉キャンパス,75,80,90,85,78,82,スマートシティ開発。研究機関集積
市川市,市川駅周辺,85,88,72,65,82,78,総武線快速停車。文化人多く居住
市川市,本八幡,88,90,70,60,85,79,都営新宿線・JR利用可能
浦安市,新浦安,80,75,88,85,80,82,計画的住宅地。道路整備されゆとりある街並み
浦安市,舞浜,72,78,90,80,82,80,ディズニーリゾート最寄り。観光客多数
浦安市,浦安駅周辺,85,88,82,68,80,81,東京メトロ東西線。市内最古の住宅地
成田市,成田駅周辺,70,72,78,65,72,71,成田山周辺の観光地。空港アクセス良好
木更津市,木更津駅周辺,70,68,72,68,72,70,アウトレットモール開業で活性化
