year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2020,Q1,千葉市中央区,千葉駅周辺,commercial,85.2,17200000,201880,2005,RC,店舗
2020,Q2,船橋市,船橋駅周辺,residential,68.5,13500000,197080,2010,RC,マンション
2020,Q3,浦安市,新浦安,residential,95.0,35500000,373684,2015,RC,マンション
2020,Q4,松戸市,松戸駅周辺,residential,78.3,14200000,181354,2008,RC,マンション
2021,Q1,柏市,柏駅周辺,commercial,120.0,23500000,195833,2000,SRC,事務所
2021,Q1,市川市,本八幡,residential,55.8,11200000,200717,2012,RC,マンション
2021,Q2,浦安市,舞浜,land,180.0,70200000,390000,0,,住宅
2021,Q2,千葉市花見川区,幕張本郷,residential,88.4,13800000,156108,2003,RC,マンション
2021,Q3,成田市,成田駅周辺,commercial,145.0,17500000,120689,1998,S,店舗
2021,Q4,木更津市,木更津駅周辺,residential,105.3,13800000,131054,2001,W,戸建て
2022,Q1,船橋市,西船橋,residential,72.5,13900000,191724,2018,RC,マンション
2022,Q1,浦安市,新浦安,residential,108.0,42000000,388888,2018,RC,マンション
2022,Q2,柏市,柏の葉キャンパス,residential,82.0,16500000,201219,2020,RC,マンション
2022,Q2,市川市,市川駅周辺,office,210.0,42000000,200000,2008,SRC,事務所
2022,Q3,千葉市美浜区,海浜幕張,office,350.0,77000000,220000,2012,SRC,事務所
2022,Q4,松戸市,新松戸,residential,62.8,11800000,187898,2014,RC,マンション
2023,Q1,浦安市,舞浜,residential,125.0,50000000,400000,2020,RC,マンション
2023,Q1,流山市,流山おおたかの森,residential,75.0,16500000,220000,2022,RC,マンション
2023,Q2,船橋市,津田沼,commercial,95.0,20000000,210526,2015,S,店舗
2023,Q2,千葉市中央区,千葉駅周辺,land,220.0,44000000,200000,0,,住宅
2023,Q3,柏市,柏駅周辺,residential,88.0,17200000,195454,2019,RC,マンション
2023,Q4,成田市,空港周辺,commercial,450.0,49500000,110000,2005,S,事務所
2024,Q1,浦安市,新浦安,land,155.0,60450000,390000,0,,住宅
2024,Q1,市川市,本八幡,residential,68.5,14500000,211678,2021,RC,マンション
2024,Q2,習志野市,津田沼,residential,78.0,15600000,200000,2023,RC,マンション
2024,Q2,木更津市,金田,commercial,280.0,30800000,110000,2016,S,店舗
2024,Q3,千葉市花見川区,幕張新都心,office,320.0,70400000,220000,2017,SRC,事務所
2024,Q3,松戸市,流山おおたかの森,residential,82.5,18150000,220000,2022,RC,マンション
