city,district,river_flood_risk,inland_flood_risk,storm_surge_risk,hazard_zone,notes
千葉市中央区,都川周辺,medium,medium,high,warning,都川氾濫リスク。臨海部は高潮注意
千葉市中央区,千葉駅北口,low,medium,low,caution,市街地の内水氾濫に注意
千葉市花見川区,花見川沿い,high,medium,medium,warning,花見川の氾濫リスク高
千葉市美浜区,稲毛海岸,low,low,high,danger,埋立地で高潮リスク最大
千葉市若葉区,都川上流,medium,low,none,caution,上流部の急激な増水注意
船橋市,海老川沿い,high,medium,medium,warning,海老川・浜町は浸水リスクあり
船橋市,西船橋,low,medium,low,caution,台地上は比較的安全
松戸市,坂川沿い,high,medium,none,warning,坂川・江戸川氾濫リスク
松戸市,松戸駅東口,medium,medium,none,caution,江戸川支流沿い注意
柏市,大堀川沿い,medium,low,none,caution,大堀川の洪水注意
柏市,柏駅周辺,low,medium,none,caution,市街地の内水注意
市川市,江戸川沿い,high,medium,medium,danger,江戸川氾濫時に広範な浸水
市川市,本八幡,medium,medium,low,warning,低地部は注意
浦安市,舞浜,low,low,high,danger,埋立地全域で高潮・津波リスク高
浦安市,新浦安,low,low,high,danger,海抜0m地帯。高潮時に広域浸水
成田市,成田駅周辺,low,low,none,none,内陸部で洪水リスク低
成田市,印旛沼周辺,medium,medium,none,caution,印旛沼排水不良時に注意
木更津市,木更津港周辺,medium,medium,high,warning,東京湾台風時の高潮に注意
流山市,江戸川台,high,medium,none,warning,江戸川の氾濫域に含まれる
習志野市,津田沼,low,medium,high,warning,臨海部は高潮注意
