city,seismic_intensity_30yr,liquefaction_risk,slope_failure_risk,overall_risk_score,notes
千葉市中央区,70,medium,low,5,臨海部で液状化リスクあり
千葉市花見川区,68,medium,low,4,内陸部は比較的安定
千葉市稲毛区,66,low,low,3,台地上で安定した地盤
千葉市若葉区,62,low,medium,4,丘陵地形あり
千葉市緑区,60,low,medium,4,山間部で崖崩れ注意
千葉市美浜区,72,high,low,7,埋立地のため液状化リスク高
船橋市,69,medium,low,5,海岸部は液状化注意
松戸市,65,low,low,3,比較的安全な地盤
柏市,62,low,low,3,台地上で良好な地盤
市川市,70,medium,low,5,江戸川沿いは液状化注意
浦安市,75,high,low,8,2011年東日本大震災で広範な液状化被害。埋立地全域が高リスク
成田市,58,low,low,2,比較的安全。内陸部で地盤安定
木更津市,65,medium,low,5,海岸部は液状化リスクあり
習志野市,71,high,low,7,埋立地が多く液状化注意
我孫子市,60,low,low,2,内陸で安定した地盤
流山市,63,low,low,3,江戸川沿い低地は注意
八千代市,62,low,low,3,台地上で良好
鎌ケ谷市,63,low,low,2,安定した地盤
