city,district,facility_name,facility_type,floor_area_sqm,annual_visitors,opened_year,nearest_station,notes
千葉市中央区,千葉駅周辺,ペリエ千葉,shopping_mall,28500,18000000,1985,千葉駅,千葉駅直結の商業施設。食品・ファッション
千葉市中央区,千葉駅周辺,そごう千葉店,department_store,82000,12000000,1980,千葉駅,千葉最大のデパート
千葉市中央区,千葉駅周辺,千葉三越,department_store,42000,6500000,1972,千葉駅,伝統ある百貨店。2024年閉店予定
千葉市花見川区,幕張新都心,イオンモール幕張新都心,shopping_mall,298000,28000000,2013,海浜幕張駅,国内最大級のイオンモール
千葉市花見川区,幕張新都心,三井アウトレットパーク幕張,outlet,35000,8500000,2000,海浜幕張駅,アウトレット先駆け的存在
船橋市,海浜,ららぽーとTOKYO-BAY,shopping_mall,192000,22000000,1981,南船橋駅,日本初のショッピングモール。国内最大級
船橋市,津田沼,イオンモール津田沼,shopping_mall,85000,12000000,2002,津田沼駅,京成津田沼駅直結
船橋市,船橋駅周辺,船橋東武百貨店,department_store,68000,8000000,1956,船橋駅,地域密着の老舗百貨店
松戸市,松戸駅周辺,キテミテマツド,shopping_mall,38000,6500000,2018,松戸駅,松戸伊勢丹跡地に開業
松戸市,松戸駅周辺,アトレ松戸,shopping_mall,22000,4200000,1993,松戸駅,松戸駅直結
柏市,柏駅周辺,高島屋柏店,department_store,72000,9500000,1977,柏駅,東葛地域最大のデパート
柏市,柏駅周辺,そごう柏店,department_store,58000,7000000,1986,柏駅,柏駅東口の主要商業施設
市川市,本八幡,アクス本八幡,shopping_mall,25000,5500000,2005,本八幡駅,本八幡駅周辺の複合施設
浦安市,新浦安,イクスピアリ,shopping_mall,72000,15000000,2000,舞浜駅,ディズニーリゾート隣接のエンタメ商業施設
浦安市,新浦安,新浦安ベルファース,supermarket,15000,3500000,1995,新浦安駅,地域密着型スーパー
成田市,成田駅周辺,イオンモール成田,shopping_mall,88000,8500000,2002,成田駅,成田最大の商業施設
木更津市,金田,三井アウトレットパーク木更津,outlet,168000,12000000,2012,木更津駅(バス),国内最大級のアウトレット。アクアライン至近
流山市,流山おおたかの森,流山おおたかの森S・C,shopping_mall,82000,11000000,2007,流山おおたかの森駅,TX沿線開発の中核商業施設
習志野市,津田沼,MONA新浦安,shopping_mall,45000,7500000,1999,新浦安駅,新浦安の大型商業施設
柏市,南柏,ショッピングセンターカシワ,shopping_mall,28000,4000000,1988,南柏駅,地域の生活利便施設
